10	Tal	05/10/2022

4	Ta;	05/10/2022

8	Ta;	05/10/2022

6	Tak	05/11/2022

13	Tak	05/11/2022

18	Tak	05/11/2022

6	Tal	05/11/2022

11	Tal	05/11/2022

11	Tal	05/11/2022

11	Tal	05/11/2022

11	Tal	05/11/2022

8	Tal	05/11/2022

0	a	05/11/2022

1	a	05/11/2022

4	a	05/11/2022

5	a	05/11/2022

5	a	05/11/2022

3	Ta;	05/11/2022

0	Tal	05/13/2022

1	tal	05/13/2022

1	tal	05/13/2022

1	tal	05/13/2022

1	tal	05/13/2022

1	tal	05/13/2022

1	tal	05/13/2022

1	tal	05/13/2022

1	tal	05/13/2022

1	tal	05/13/2022

1	tal	05/13/2022

1	tal	05/13/2022

1	tal	05/13/2022

1	tal	05/13/2022

1	tal	05/13/2022

1	tal	05/13/2022

1	tal	05/13/2022

1	tal	05/13/2022

1	tal	05/13/2022

1	tal	05/13/2022

1	tal	05/13/2022

1	tal	05/13/2022

1	tal	05/13/2022

1	tal	05/13/2022

1	tal	05/13/2022

1	tal	05/13/2022

1	tal	05/13/2022

1	tal	05/13/2022

1	tal	05/13/2022

1	tal	05/13/2022

1	tal	05/13/2022

1	tal	05/13/2022

1	tal	05/13/2022

1	tal	05/13/2022

1	tal	05/13/2022
